"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"d:\Dev\SIXFL\src\app\admin\fixtures\actions.ts", "TypeScript", 257, 0, 0, 8, 74, 339
"d:\Dev\SIXFL\src\app\admin\fixtures\generate\page.tsx", "TypeScript JSX", 0, 188, 0, 10, 18, 216
"d:\Dev\SIXFL\src\app\admin\fixtures\page.tsx", "TypeScript JSX", 0, 252, 0, 9, 30, 291
"d:\Dev\SIXFL\src\app\admin\layout.tsx", "TypeScript JSX", 0, 50, 0, 3, 9, 62
"d:\Dev\SIXFL\src\app\admin\leads\actions.ts", "TypeScript", 31, 0, 0, 3, 8, 42
"d:\Dev\SIXFL\src\app\admin\leads\page.tsx", "TypeScript JSX", 0, 728, 0, 3, 61, 792
"d:\Dev\SIXFL\src\app\admin\leagues\actions.ts", "TypeScript", 95, 0, 0, 1, 27, 123
"d:\Dev\SIXFL\src\app\admin\leagues\page.tsx", "TypeScript JSX", 0, 177, 0, 1, 22, 200
"d:\Dev\SIXFL\src\app\admin\page.tsx", "TypeScript JSX", 0, 51, 0, 4, 9, 64
"d:\Dev\SIXFL\src\app\admin\results\page.tsx", "TypeScript JSX", 0, 70, 0, 1, 11, 82
"d:\Dev\SIXFL\src\app\admin\teams\[id]\edit\page.tsx", "TypeScript JSX", 0, 261, 0, 3, 37, 301
"d:\Dev\SIXFL\src\app\admin\teams\actions.ts", "TypeScript", 108, 0, 0, 3, 34, 145
"d:\Dev\SIXFL\src\app\admin\teams\new\page.tsx", "TypeScript JSX", 0, 92, 0, 3, 10, 105
"d:\Dev\SIXFL\src\app\admin\teams\page.tsx", "TypeScript JSX", 0, 161, 0, 3, 22, 186
"d:\Dev\SIXFL\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 5, 0, 0, 3, 4, 12
"d:\Dev\SIXFL\src\app\api\contact\route.ts", "TypeScript", 120, 0, 0, 3, 21, 144
"d:\Dev\SIXFL\src\app\claim\page.tsx", "TypeScript JSX", 0, 103, 0, 3, 22, 128
"d:\Dev\SIXFL\src\app\contact\page.tsx", "TypeScript JSX", 0, 269, 0, 5, 33, 307
"d:\Dev\SIXFL\src\app\dashboard\SignOutButton.tsx", "TypeScript JSX", 0, 12, 0, 0, 2, 14
"d:\Dev\SIXFL\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 53, 0, 3, 7, 63
"d:\Dev\SIXFL\src\app\faq\page.tsx", "TypeScript JSX", 0, 175, 0, 3, 33, 211
"d:\Dev\SIXFL\src\app\globals.css", "PostCSS", 0, 0, 49, 5, 8, 62
"d:\Dev\SIXFL\src\app\layout.tsx", "TypeScript JSX", 0, 28, 0, 1, 2, 31
"d:\Dev\SIXFL\src\app\league-agreement\page.tsx", "TypeScript JSX", 0, 120, 0, 3, 22, 145
"d:\Dev\SIXFL\src\app\league-rules\page.tsx", "TypeScript JSX", 0, 96, 0, 3, 18, 117
"d:\Dev\SIXFL\src\app\leagues\[id]\page.tsx", "TypeScript JSX", 0, 253, 0, 1, 22, 276
"d:\Dev\SIXFL\src\app\leagues\page.tsx", "TypeScript JSX", 0, 149, 0, 3, 14, 166
"d:\Dev\SIXFL\src\app\login\page.tsx", "TypeScript JSX", 0, 42, 0, 0, 7, 49
"d:\Dev\SIXFL\src\app\match-rules\page.tsx", "TypeScript JSX", 0, 135, 0, 3, 30, 168
"d:\Dev\SIXFL\src\app\page.tsx", "TypeScript JSX", 0, 508, 0, 15, 55, 578
"d:\Dev\SIXFL\src\app\pricing\page.tsx", "TypeScript JSX", 0, 221, 0, 3, 29, 253
"d:\Dev\SIXFL\src\app\providers.tsx", "TypeScript JSX", 0, 5, 0, 1, 2, 8
"d:\Dev\SIXFL\src\app\referee-agreement\page.tsx", "TypeScript JSX", 0, 96, 0, 3, 18, 117
"d:\Dev\SIXFL\src\app\referee\actions.ts", "TypeScript", 89, 0, 0, 1, 20, 110
"d:\Dev\SIXFL\src\app\referee\fixture\[id]\page.tsx", "TypeScript JSX", 0, 244, 0, 1, 29, 274
"d:\Dev\SIXFL\src\app\referee\page.tsx", "TypeScript JSX", 0, 168, 0, 1, 18, 187
"d:\Dev\SIXFL\src\app\register-interest\actions.ts", "TypeScript", 272, 0, 0, 3, 29, 304
"d:\Dev\SIXFL\src\app\register-interest\page.tsx", "TypeScript JSX", 0, 476, 0, 3, 44, 523
"d:\Dev\SIXFL\src\app\register-interest\success\page.tsx", "TypeScript JSX", 0, 51, 0, 3, 9, 63
"d:\Dev\SIXFL\src\app\register-team\RegisterTeamClient.tsx", "TypeScript JSX", 0, 406, 0, 3, 49, 458
"d:\Dev\SIXFL\src\app\register-team\actions.ts", "TypeScript", 56, 0, 0, 3, 10, 69
