"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"d:\Dev\SIXFL\src\app\api\contact\route.ts", "TypeScript", 0, 12, 1, 1, 14
"d:\Dev\SIXFL\src\app\founding-teams\page.tsx", "TypeScript JSX", 194, 0, 3, 28, 225
"d:\Dev\SIXFL\src\app\leagues\page.tsx", "TypeScript JSX", 14, 0, 0, 0, 14
"d:\Dev\SIXFL\src\app\page.tsx", "TypeScript JSX", 10, 0, -2, 2, 10
"d:\Dev\SIXFL\src\app\safeguarding\anti-bullying\page.tsx", "TypeScript JSX", 113, 0, 3, 17, 133
"d:\Dev\SIXFL\src\app\safeguarding\code-of-conduct\page.tsx", "TypeScript JSX", 104, 0, 11, 25, 140
"d:\Dev\SIXFL\src\app\safeguarding\page.tsx", "TypeScript JSX", 90, 0, 3, 15, 108
"d:\Dev\SIXFL\src\app\safeguarding\reporting-concerns\page.tsx", "TypeScript JSX", 94, 0, 9, 20, 123
"d:\Dev\SIXFL\src\app\safeguarding\safeguarding-policy\page.tsx", "TypeScript JSX", 39, 0, 3, 14, 56
"d:\Dev\SIXFL\src\app\venues\page.tsx", "TypeScript JSX", 261, 0, 8, 24, 293
"d:\Dev\SIXFL\src\components\layout\SiteFooter.tsx", "TypeScript JSX", 19, 0, 1, 11, 31
"Total", "-", 938, 12, 40, 157, 1147
