"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"d:\Dev\SIXFL\src\app\admin\leads\[id]\actions.ts", "TypeScript", 102, 0, 3, 28, 133
"d:\Dev\SIXFL\src\app\admin\leads\[id]\page.tsx", "TypeScript JSX", 0, 180, 7, 37, 224
"d:\Dev\SIXFL\src\app\admin\leads\actions.ts", "TypeScript", 106, 0, 0, 19, 125
"d:\Dev\SIXFL\src\app\admin\leads\page.tsx", "TypeScript JSX", 0, 188, 0, 19, 207
"d:\Dev\SIXFL\src\app\api\auth\check-email\route.ts", "TypeScript", 14, 0, 3, 5, 22
"d:\Dev\SIXFL\src\app\layout.tsx", "TypeScript JSX", 0, 6, 2, 3, 11
"d:\Dev\SIXFL\src\app\leagues\page.tsx", "TypeScript JSX", 0, 8, 0, 0, 8
"d:\Dev\SIXFL\src\app\login\page.tsx", "TypeScript JSX", 0, 43, 3, 10, 56
"d:\Dev\SIXFL\src\app\page.tsx", "TypeScript JSX", 0, -93, 1, -11, -103
"d:\Dev\SIXFL\src\auth.ts", "TypeScript", 33, 0, 0, 10, 43
"d:\Dev\SIXFL\src\components\admin\leads\BulkLeadEmailForm.tsx", "TypeScript JSX", 0, 121, 3, 17, 141
"d:\Dev\SIXFL\src\components\admin\leads\DeleteLeadButton.tsx", "TypeScript JSX", 0, 48, 3, 13, 64
"d:\Dev\SIXFL\src\components\admin\leads\LeadEmailForm.tsx", "TypeScript JSX", 0, 83, 8, 18, 109
"d:\Dev\SIXFL\src\components\analytics\AnalyticsProvider.tsx", "TypeScript JSX", 0, 11, 3, 3, 17
"d:\Dev\SIXFL\src\components\analytics\TrackedLink.tsx", "TypeScript JSX", 0, 34, 3, 4, 41
"d:\Dev\SIXFL\src\components\layout\SiteFooter.tsx", "TypeScript JSX", 0, 21, 0, -11, 10
"d:\Dev\SIXFL\src\components\layout\SiteHeader.tsx", "TypeScript JSX", 0, 123, -6, 1, 118
"d:\Dev\SIXFL\src\lib\analytics.ts", "TypeScript", 11, 0, 3, 3, 17
"Total", "-", 266, 773, 36, 168, 1243
